text,input_language,output_language
ऊर्जा मन्त्रालयले जैविक इन्धनको नकारात्मक असरको जाँच गर्यो।,nepali,english
The Ministry of Energy examined the negative effects of biofuels.,english,maithili
ऊर्जा मंत्रालय जैविक ईंधनक नकारात्मक असरक जाँच केलकै।,maithili,english
Germination is a natural and slow process.,english,nepali
अंकुराउनु एक प्राकृतिक र ढिलो प्रक्रिया हो।,nepali,english
Germination is a natural and slow process.,english,maithili
अंकुराएल एक प्राकृतिक आ ढील प्रक्रिया छी।,maithili,english
A leaf sensor is a type of device used for irrigation.,english,nepali
"पातको सेन्सर एक प्रकारको उपकरण हो, जसको प्रयोग सिँचाइको लागि हुन्छ।",nepali,english
A leaf sensor is a type of device used for irrigation.,english,maithili
"पातकेँ सेंसर एक प्रकारक उपकरण छी, जकर प्रयोग सिंचाई लेल होइत छै।",maithili,english
There was a fight in the family over ten kattha of land.,english,nepali
परिवारमा दश कट्ठा जमिनको लागि झगडा भयो।,nepali,english
There was a fight in the family over ten kattha of land.,english,maithili
परिवारमे दस कट्ठा जमीन लेल झगड़ा भेल।,maithili,english
Is there any variety where weeds don't grow?,english,nepali
कुनै यस्तो जात छ र जहाँ झारपात नउम्रियोस्?,nepali,english
Is there any variety where weeds don't grow?,english,maithili
कोनो एहन जात अछि जतय झारपात नहिं उगे?,maithili,english
He bought two kattha of land in the village.,english,nepali
उहाँले गाउँमा दुई कट्ठा जग्गा किन्नुभयो।,nepali,english
He bought two kattha of land in the village.,english,maithili
ओ गांउमे दू कट्ठा जमीन किनलनि।,maithili,english
"After the Green Revolution, the use of agricultural chemicals increased.",english,nepali
हरित क्रान्तिपछि कृषि रसायनको प्रयोगमा वृद्धि भयो।,nepali,english
"After the Green Revolution, the use of agricultural chemicals increased.",english,maithili
हरित क्रान्ति के बाद कृषि रसायन के प्रयोग मे बढोत्तरी भेल।,maithili,english
Indian Chemical Institute is a very big producer of agricultural chemicals.,english,nepali
भारत रसायन संस्थान कृषि रसायनको धेरै ठूलो उत्पादक हो।,nepali,english
Indian Chemical Institute is a very big producer of agricultural chemicals.,english,maithili
भारत रसायन संस्थान कृषि रसायन के बहुत पैघ उत्पादक अछि।,maithili,english
The increase in sea fish in the market has increased trade.,english,nepali
बजारमा समुद्री माछाको वृद्धिले व्यापारमा वृद्धि भयो।,nepali,english
The increase in sea fish in the market has increased trade.,english,maithili
बजार मे समुद्री मछली के बढोतरी से व्यापार मे बढोतरी भेल।,maithili,english
The agricultural equipment manufacturers organization manufactures modern equipment every year.,english,nepali
कृषि उपकरण निर्माता संगठनले प्रति वर्ष आधुनिक उपकरणहरू निर्माण गर्छ।,nepali,english
The agricultural equipment manufacturers organization manufactures modern equipment every year.,english,maithili
कृषि उपकरण निर्माता संगठन प्रति वर्ष आधुनिक उपकरण बनाबैत अछि।,maithili,english
Organic gardening does not adversely affect human health.,english,nepali
जैविक बागवानीले मानिसको स्वास्थ्यमा नराम्रो असर पार्दैन।,nepali,english
Organic gardening does not adversely affect human health.,english,maithili
जैविक बागवानी से मनुष्य के स्वास्थ्य पर खराब असर नहिं पडैत अछि।,maithili,english
The Prime Minister worked for the development of the agricultural sector.,english,nepali
प्रधानमन्त्रीले कृषि क्षेत्रको विकासको लागि काम गर्नुभयो।,nepali,english
The Prime Minister worked for the development of the agricultural sector.,english,maithili
प्रधानमन्त्री कृषि क्षेत्र के विकास के लेल काज केलनि।,maithili,english
Bamboo is used a lot in the textile industry.,english,nepali
कपडा उद्योगमा बाँसको उपयोग धेरै हुन्छ।,nepali,english
Bamboo is used a lot in the textile industry.,english,maithili
कपडा उद्योग मे बांस के उपयोग बहुत होएत अछि।,maithili,english
The government creates the mandi system in India.,english,nepali
भारतमा मंडी प्रणालीको व्यवस्था सरकारले निर्माण गर्छ।,nepali,english
The government creates the mandi system in India.,english,maithili
भारत मे मंडी प्रणाली के व्यवस्था सरकार बनबैत अछि।,maithili,english
Different types of trees are found in India.,english,nepali
भारतमा विभिन्न प्रकारका रुख पाइन्छ।,nepali,english
Different types of trees are found in India.,english,maithili
भारत मे विभिन्न प्रकार के गाछ भेटैत अछि।,maithili,english
"After threshing, the grain is separated from the chaff.",english,nepali
दौनी गरेपछि जातबाट दाना अलग हुन्छ।,nepali,english
"After threshing, the grain is separated from the chaff.",english,maithili
दौनी केला के बाद जात से दाना अलग होएत अछि।,maithili,english
"Carpets, curtains, ropes, etc. are made from jute.",english,nepali
"पटुवाबाट गलैँचा, पर्दा, डोरी इत्यादि बनाइन्छ।",nepali,english
"Carpets, curtains, ropes, etc. are made from jute.",english,maithili
"पटुआ से गलैचा, पर्दा, डोरी इत्यादि बनाओल जाएत अछि।",maithili,english
Expanding the forest is necessary to boost the economy.,english,nepali
अर्थतन्त्रलाई अगाडि बढाउनको लागि जङ्गलको विस्तार आवश्यक छ।,nepali,english
Expanding the forest is necessary to boost the economy.,english,maithili
अर्थतन्त्र के आगू बढावे के लेल जंगल के विस्तार जरूरी अछि।,maithili,english
Farmers should use the best equipment to prepare the soil.,english,nepali
किसानले माटो तयार गर्नको लागि उत्तम उपकरणको उपयोग गर्नुपर्छ।,nepali,english
Farmers should use the best equipment to prepare the soil.,english,maithili
किसान के माटि तैयार करे के लेल उत्तम उपकरण के उपयोग करे के चाही।,maithili,english
The farmer produced watermelon fruit with a lot of hard work.,english,nepali
किसानले धेरै परिश्रम गरेर खरबुजा फलको उत्पादन गरे।,nepali,english
The farmer produced watermelon fruit with a lot of hard work.,english,maithili
किसान बहुत परिश्रम क के खरबुजा फल के उत्पादन केलनि।,maithili,english
Combined machinery has a very important role in the agricultural sector.,english,nepali
संयुक्त यन्त्रको कृषि क्षेत्रमा धेरै महत्त्वपूर्ण भूमिका छ।,nepali,english
Combined machinery has a very important role in the agricultural sector.,english,maithili
संयुक्त यन्त्र के कृषि क्षेत्र मे बहुत महत्वपूर्ण भूमिका अछि।,maithili,english
Nutrient requirements depend on the age of the cow.,english,nepali
पोषक तत्वको आवश्यकता गाईको उमेरमा निर्भर गर्छ।,nepali,english
Nutrient requirements depend on the age of the cow.,english,maithili
पोषक तत्व के आवश्यकता गाई के उमिर पर निर्भर करैत अछि।,maithili,english
Bamboo is the main source of bamboo paper.,english,nepali
बाँस कागजको मुख्य स्रोत बाँस हो।,nepali,english
Bamboo is the main source of bamboo paper.,english,maithili
बांस कागज के मुख्य स्रोत बांस अछि।,maithili,english
"A large, airy house is needed to raise chickens.",english,nepali
कुखुरा पालन गर्नको लागि एउटा ठूलो हावादार घरको आवश्यकता पर्छ।,nepali,english
"A large, airy house is needed to raise chickens.",english,maithili
कुखुरा पालन करे के लेल एकटा पैघ हवादार घर के आवश्यकता पडैत अछि।,maithili,english
"Under the Pradhan Mantri Kisan Mandhan Yojana, farmers receive some amount monthly.",english,nepali
प्रधानमन्त्री किसान मानधन योजनाबाट किसानले मासिक रूपमा केही रकम पाउँछन्।,nepali,english
"Under the Pradhan Mantri Kisan Mandhan Yojana, farmers receive some amount monthly.",english,maithili
प्रधानमन्त्री किसान मानधन योजना से किसान के मासिक रूप से किछु रकम भेटैत छै।,maithili,english
Betel nut traders displayed different types of betel nuts.,english,nepali
सुपारी व्यापारीहरूले विभिन्न प्रकारका सुपारी प्रदर्शन गरे।,nepali,english
Betel nut traders displayed different types of betel nuts.,english,maithili
सुपारी व्यापारी सब विभिन्न प्रकार के सुपारी प्रदर्शन केलनि।,maithili,english
The aim of the midday meal scheme is to provide nutritious food to students.,english,nepali
मध्यान्ह भोजन योजनाको उद्देश्य विद्यार्थीहरूलाई पौष्टिक आहार प्रदान गर्नु हो।,nepali,english
The aim of the midday meal scheme is to provide nutritious food to students.,english,maithili
मध्यान्ह भोजन योजना के उद्देश्य विद्यार्थी सब के पौष्टिक आहार प्रदान करनाई अछि।,maithili,english
"Generally, its seeds are planted after making a hole.",english,nepali
सामान्यतया यसको बिउलाई प्वाल पारेर रोपिन्छ।,nepali,english
"Generally, its seeds are planted after making a hole.",english,maithili
सामान्यतया एकर बिआ के छेद क के रोपायल जाएत अछि।,maithili,english
Its largest producer country is Indonesia.,english,nepali
यसको सबैभन्दा ठूलो उत्पादक देश इन्डोनेसिया हो।,nepali,english
Its largest producer country is Indonesia.,english,maithili
एकर सबस पैघ उत्पादक देश इंडोनेशिया अछि।,maithili,english
"Chicken feed contains many chemicals, which are harmful to human health.",english,nepali
"कुखुराको दानामा धेरै रसायन हुन्छ, जुन मानव स्वास्थ्यको लागि हानिकारक हुन्छ।",nepali,english
"Chicken feed contains many chemicals, which are harmful to human health.",english,maithili
"कुखुरा के दाना मे बहुत रसायन होएत अछि, जे मानव स्वास्थ्य के लेल हानिकारक होएत अछि।",maithili,english
A pomegranate has hundreds of small juicy seeds.,english,nepali
एउटा अनारमा सयौं स-साना रसिलो दाना हुन्छन्।,nepali,english
A pomegranate has hundreds of small juicy seeds.,english,maithili
एकटा अनार मे सैकडों छोट-छोट रसीला दाना होएत अछि।,maithili,english
This festival happens at different times because of different climates and crops around the world.,english,nepali
विश्वभरि जलवायु र बालीमा फरक भएकाले यो उत्सव फरक-फरक समयमा हुन्छ।,nepali,english
This festival happens at different times because of different climates and crops around the world.,english,maithili
विश्वभरि मे जलवायु आ बाली मे फरक भेला के कारण ई उत्सव अलग-अलग समय मे होएत अछि।,maithili,english
Ethanol fuel is used worldwide as biofuel.,english,nepali
विश्वभरि इथेनोल इन्धनको प्रयोग जैविक इन्धनको रूपमा हुन्छ।,nepali,english
Ethanol fuel is used worldwide as biofuel.,english,maithili
विश्वभरि मे इथेनोल ईंधन के प्रयोग जैविक ईंधन के रूप मे होएत अछि।,maithili,english
Nematicides are very dangerous poisonous substances.,english,nepali
नेमाटिसाइड्स धेरै खतरनाक विषालु पदार्थ हुन्छ।,nepali,english
Nematicides are very dangerous poisonous substances.,english,maithili
नेमाटिसाइड्स बहुत खतरनाक विषैला पदार्थ होएत अछि।,maithili,english
"If someone eats the flower or leaf of an oleander, they can get sick because it is poisonous.",english,nepali
"ओलियन्डरको फूल, पात केही खाएमा मान्छे बिरामी हुनसक्छ, किनकि यो विषालु हुन्छ।",nepali,english
"If someone eats the flower or leaf of an oleander, they can get sick because it is poisonous.",english,maithili
"ओलियन्डर के फूल, पात किछु खएला पर आदमी बीमार भ सकैत अछि, किए कि ई विषैला होएत अछि।",maithili,english
"Animals have many types of diseases, which can be divided into three categories.",english,nepali
"जनावरहरूमा धेरै प्रकारका रोगहरू हुन्छन्, जसलाई तीन वर्गमा विभाजन गर्न सकिन्छ।",nepali,english
"Animals have many types of diseases, which can be divided into three categories.",english,maithili
"जानवर सब मे बहुत प्रकार के रोग होएत अछि, जकरा तीन वर्ग मे विभाजित कएल जा सकैत अछि।",maithili,english
"This fruit has a texture like an egg yolk, so it is called egg fruit.",english,nepali
"यो फलमा अण्डाको पहेंलो भाग जस्तो बनावट हुन्छ, त्यसैले यसलाई एग फ्रुट भनिन्छ।",nepali,english
"This fruit has a texture like an egg yolk, so it is called egg fruit.",english,maithili
"ई फल मे अंडा के पियर भाग जका बनावट होएत अछि, तेकर लेल एकरा एग फ्रुट कहल जाएत अछि।",maithili,english
"Tobacco for bidis is grown in sandy, black, and loamy soil.",english,nepali
"बिडीको लागि तम्बाकू बलौटे, कालो र दोमट माटोमा उब्जाउ गरिन्छ।",nepali,english
"Tobacco for bidis is grown in sandy, black, and loamy soil.",english,maithili
"बिडी के लेल तम्बाकू बलुआ, करिया आ दोमट माटि मे उपजाओल जाएत अछि।",maithili,english
A mushroom with a white cap and a red stem is not edible.,english,nepali
सेतो छाता र रातो डाँठ भएको च्याउ खान योग्य हुँदैन।,nepali,english
A mushroom with a white cap and a red stem is not edible.,english,maithili
उज्जर छाता आ लाल डाँठ वाला च्याउ खाए योग्य नहिं होएत अछि।,maithili,english
Chennai faced a water crisis due to water scarcity.,english,nepali
पानीको अभावका कारण चेन्नईमा जल संकट उत्पन्न भयो।,nepali,english
Chennai faced a water crisis due to water scarcity.,english,maithili
पानी के अभाव के कारण चेन्नई मे जल संकट उत्पन्न भेल।,maithili,english
Marwari sheep are found in various districts of the state of Rajasthan.,english,nepali
मारवाडी भेडा राजस्थान राज्यका विभिन्न जिल्लामा पाइन्छ।,nepali,english
Marwari sheep are found in various districts of the state of Rajasthan.,english,maithili
मारवाडी भेडा राजस्थान राज्य के विभिन्न जिला मे भेटैत अछि।,maithili,english
Natural fibers originate from trees and animals.,english,nepali
प्राकृतिक रेशाको उत्पत्ति रूख र जनावरबाट हुन्छ।,nepali,english
Natural fibers originate from trees and animals.,english,maithili
प्राकृतिक रेशा के उत्पत्ति गाछ आ जानवर से होएत अछि।,maithili,english
"The woodworm includes names like garar, ghun, bhem, etc.",english,nepali
"काठको कीरामा गरार, घुन, भेम इत्यादिको नाम लिइन्छ।",nepali,english
"The woodworm includes names like garar, ghun, bhem, etc.",english,maithili
"काठ के कीड़ा मे गरार, घुन, भेम इत्यादिक के नाम लेल जाएत अछि।",maithili,english
But animal exploitation has increased due to rearing.,english,nepali
तर पालनपोषणका कारण पशु शोषणमा वृद्धि भएको छ।,nepali,english
But animal exploitation has increased due to rearing.,english,maithili
मुदा पालनपोषण के कारण पशु शोषण मे बढोतरी भेल अछि।,maithili,english
"In villages, animal husbandry is done a lot.",english,nepali
गाउँघरतिर पशुपालन धेरै गरिन्छ।,nepali,english
"In villages, animal husbandry is done a lot.",english,maithili
गांउघर तरफ पशुपालन बहुत कएल जाएत अछि।,maithili,english
The demand for sprouted seeds increased to get a good harvest.,english,nepali
राम्रो फसल प्राप्त गर्न अंकुरित बीउको मागमा वृद्धि भयो।,nepali,english
The demand for sprouted seeds increased to get a good harvest.,english,maithili
नीक फसल प्राप्त करे के लेल अंकुरित बिआ के मांग मे बढोतरी भेल।,maithili,english
This machine has a vacuum system attached.,english,nepali
यो मेसिनमा एउटा भ्याकुम सिस्टम लागेको हुन्छ।,nepali,english
This machine has a vacuum system attached.,english,maithili
ई मशीन मे एकटा भ्याकुम सिस्टम लागल रहैत अछि।,maithili,english
"After proving eligibility for financial assistance, help was received.",english,nepali
वित्तीय सहयोगको लागि योग्यता प्रमाणित भएपछि सहयोग पाइयो।,nepali,english
"After proving eligibility for financial assistance, help was received.",english,maithili
वित्तीय सहयोग के लेल योग्यता प्रमाणित भेला के बाद सहयोग भेटल।,maithili,english
Farming without irrigation is called dry farming.,english,nepali
सिँचाइ बिनाको खेतीलाई सुख्खा खेती भनिन्छ।,nepali,english
Farming without irrigation is called dry farming.,english,maithili
सिंचाई बिना के खेती के सूखा खेती कहल जाएत अछि।,maithili,english
"To protect the crop from rats, the farmer used rodenticide.",english,nepali
बालीलाई मुसाबाट बचाउन किसानले कृन्तकनाशकको प्रयोग गरे।,nepali,english
"To protect the crop from rats, the farmer used rodenticide.",english,maithili
बाली के मुसा से बचावे के लेल किसान कृन्तकनाशक के प्रयोग केलनि।,maithili,english
Thread is made with the help of a spinning wheel.,english,nepali
चरखाको सहयोगले धागो तयार गरिन्छ।,nepali,english
Thread is made with the help of a spinning wheel.,english,maithili
चरखा के सहयोग से धागा तैयार कएल जाएत अछि।,maithili,english
Agroforestry increases the income of farmers many times over.,english,nepali
वृक्षारोपण खेतीले किसानको आम्दानी धेरै गुणा बढ्छ।,nepali,english
Agroforestry increases the income of farmers many times over.,english,maithili
वृक्षारोपण खेती से किसान के आमदनी बहुत गुना बढैत अछि।,maithili,english
The need for Maddu or Madda irrigation system is not felt in Mithila.,english,nepali
मद्दु वा मद्दा सिँचाइ व्यवस्थाको आवश्यकता मिथिलामा महसुस हुँदैन।,nepali,english
The need for Maddu or Madda irrigation system is not felt in Mithila.,english,maithili
मद्दु वा मद्दा सिंचाई व्यवस्था के आवश्यकता मिथिला मे महसूस नहिं होएत अछि।,maithili,english
Many writers have called sheep grazing an ecological crisis.,english,nepali
धेरै लेखकले भेडा चराउने कामलाई पारिस्थितिक संकट भनेका छन्।,nepali,english
Many writers have called sheep grazing an ecological crisis.,english,maithili
बहुत लेखक भेडा चरावे के काज के पारिस्थितिक संकट कहने छथि।,maithili,english
The combined machine has a very important role in agriculture.,english,nepali
संयुक्त यन्त्रको कृषि क्षेत्रमा धेरै महत्त्वपूर्ण भूमिका छ।,nepali,english
The combined machine has a very important role in agriculture.,english,maithili
संयुक्त यन्त्रक कृषि क्षेत्रमे बहुत महत्वपूर्ण भूमिका छै।,maithili,english
The Minister of Agriculture was very happy with the National Food Security Mission.,english,nepali
राष्ट्रिय खाद्य सुरक्षा मिशनबाट कृषि मन्त्री धेरै खुसी हुनुहुन्थ्यो।,nepali,english
The Minister of Agriculture was very happy with the National Food Security Mission.,english,maithili
राष्ट्रिय खाद्य सुरक्षा मिशनसँ कृषि मंत्री बहुत खुश रहैथ।,maithili,english
"After the method of obtaining gold from the bark of lemon trees comes to Mithila, employment opportunities will increase.",english,nepali
निम्बुको रुखको बोक्राबाट सुन प्राप्त गर्ने विधि मिथिलामा आएपछि रोजगारीको अवसर बढ्नेछ।,nepali,english
"After the method of obtaining gold from the bark of lemon trees comes to Mithila, employment opportunities will increase.",english,maithili
नेबुक गाछक बोकसँ सोना निकालएके विधि मिथिलामे आएला पर रोजगारक अवसर बढ्हत।,maithili,english
"Due to the shortage of tomatoes, the price increased.",english,nepali
टमाटरको अभावका कारण मूल्यमा वृद्धि भयो।,nepali,english
"Due to the shortage of tomatoes, the price increased.",english,maithili
टमाटरक अभावके कारण दाममे बढोत्तरी भेल।,maithili,english
The farmer produced santola and sold it in the market.,english,nepali
किसानले सन्तोला उत्पादन गरेर बजारमा बेचे।,nepali,english
The farmer produced santola and sold it in the market.,english,maithili
किसान सन्तोला उपजाके बाजारमे बेचलक।,maithili,english
The humidity level is very high in some parts of South India.,english,nepali
दक्षिण भारतका केही क्षेत्रमा आद्रताको स्तर धेरै हुन्छ।,nepali,english
The humidity level is very high in some parts of South India.,english,maithili
दक्षिण भारतक किछु क्षेत्रमे आद्रताक स्तर बहुत बेसी होइत छै।,maithili,english
Wool on the sheep's mouth can cause many diseases.,english,nepali
भेडाको मुखमा ऊनले धेरै रोग निम्त्याउन सक्छ।,nepali,english
Wool on the sheep's mouth can cause many diseases.,english,maithili
भेड़ोक मुहमे ऊन बहुत रोगके कारण बन सकैत अछि।,maithili,english
His equipment was destroyed due to woodworm.,english,nepali
काठको कीराले गर्दा उसको उपकरण नष्ट भयो।,nepali,english
His equipment was destroyed due to woodworm.,english,maithili
काठक कीड़ाके कारण ओकर उपकरण नष्ट भ गेल।,maithili,english
Cocoa is used a lot in India.,english,nepali
भारतमा कोकोको उपयोग धेरै गरिन्छ।,nepali,english
Cocoa is used a lot in India.,english,maithili
भारतमे कोकोक उपयोग बहुत कएल जाइत अछि।,maithili,english
Dairy cows produce more milk than other cows.,english,nepali
डेरी गाईले अन्य गाईभन्दा धेरै दूध उत्पादन गर्छ।,nepali,english
Dairy cows produce more milk than other cows.,english,maithili
डेरी गाई दोसर गाईसँ बेसी दूध उत्पादन करैत अछि।,maithili,english
This machine has a really sharp grass cutting blade.,english,nepali
यो मेसिनमा घाँस काट्ने ब्लेड एकदमै धारिलो हुन्छ।,nepali,english
This machine has a really sharp grass cutting blade.,english,maithili
ई मशीनमे घास काटे वाला ब्लेड एकदम तेज होइत छै।,maithili,english
The government should ensure proper use of fertile land.,english,nepali
सरकारले मलिलो जमिनको सही उपयोग गराउनुपर्छ।,nepali,english
The government should ensure proper use of fertile land.,english,maithili
सरकारके मलहड़ जमीनक सही उपयोग करेबाक चाही।,maithili,english
The wood business suffered a lot due to the Corona pandemic.,english,nepali
कोरोना महामारीले गर्दा काठको व्यापारमा धेरै नोक्सान भयो।,nepali,english
The wood business suffered a lot due to the Corona pandemic.,english,maithili
कोरोना महामारीके कारण काठक व्यापारमे बहुत नुकसान भेल।,maithili,english
The farmer asked for help to apply for financial assistance.,english,nepali
किसानले आर्थिक सहयोगको लागि निवेदन दिन सहयोग मागे।,nepali,english
The farmer asked for help to apply for financial assistance.,english,maithili
किसान आर्थिक सहयोगके लेल आवेदन देबाक लेल मदद मँगने छल।,maithili,english
Rat poison is poison for rats.,english,nepali
मुसा मार्ने विष मुसाको लागि विष हो।,nepali,english
Rat poison is poison for rats.,english,maithili
मुसा मारे वाला जहर मुसाके लेल विष होइत छै।,maithili,english
They were able to expand agriculture because of the agricultural infrastructure fund.,english,nepali
कृषि पूर्वाधार कोषको कारणले उनीहरुले कृषि विस्तार गर्न सके।,nepali,english
They were able to expand agriculture because of the agricultural infrastructure fund.,english,maithili
कृषि पूर्वाधार कोषके कारण ओ सब कृषि विस्तार कए सकल।,maithili,english
"Due to the invention of machines, many working people's jobs were affected.",english,nepali
मेसिनको आविष्कारले गर्दा धेरै काम गर्ने मान्छेहरुको रोजगारीमा असर पर्यो।,nepali,english
"Due to the invention of machines, many working people's jobs were affected.",english,maithili
मशीनक आविष्कारके कारण बहुत काम करे वाला लोगक रोजगार पर असर पड़ल।,maithili,english
Organic fertilizer does not destroy the fertility of the soil.,english,nepali
जैविक मलले जमिनको उर्वरा शक्ति नष्ट गर्दैन।,nepali,english
Organic fertilizer does not destroy the fertility of the soil.,english,maithili
जैविक खाद जमीनक उर्वरा शक्ति नष्ट नै करैत अछि।,maithili,english
The corrupt employee didn't give the livestock insurance money to the farmer.,english,nepali
भ्रष्ट कर्मचारीले पशु बीमा योजनाको पैसा किसानलाई दिएन।,nepali,english
The corrupt employee didn't give the livestock insurance money to the farmer.,english,maithili
भ्रष्ट कर्मचारी पशु बीमा योजनाक पैसा किसानके नै देलक।,maithili,english
The lack of nutrients affected the fertility of the sheep.,english,nepali
पोषक तत्वको कमीले गर्दा भेडाको प्रजनन क्षमतामा असर गर्यो।,nepali,english
The lack of nutrients affected the fertility of the sheep.,english,maithili
पोषक तत्वक कमीके कारण भेड़ोक प्रजनन क्षमता पर असर पड़ल।,maithili,english
The farmer applied to the officer for a permit to expand his business.,english,nepali
किसानले व्यापार बढाउनको लागि अधिकारीलाई अनुमति पत्रको लागि निवेदन दिए।,nepali,english
The farmer applied to the officer for a permit to expand his business.,english,maithili
किसान व्यापार बढ़ावेके लेल अधिकारीसँ अनुमति पत्रके लेल आवेदन देलक।,maithili,english
Antarctica has a large source of the world's frozen water.,english,nepali
अन्टार्टिकामा विश्वको धेरै जमेको पानीको स्रोत छ।,nepali,english
Antarctica has a large source of the world's frozen water.,english,maithili
अंटार्कटिकामे दुनियाक बहुत जमल पानीक स्रोत छै।,maithili,english
The arthropod is a major component for the invertebrate fauna.,english,nepali
कठिनी जीवजगतमा संधिपाद जीवको लागि एउटा मुख्य भाग हो।,nepali,english
The arthropod is a major component for the invertebrate fauna.,english,maithili
कठिनी जीवजगतमे संधिपाद जीवके लेल एकटा मुख्य भाग होइत छै।,maithili,english
Plowing with a subsoiler loosens the soil and results in good production.,english,nepali
सबसॉइलरले जोत्दा माटो खुकुलो हुन्छ र राम्रो उत्पादन हुन्छ।,nepali,english
Plowing with a subsoiler loosens the soil and results in good production.,english,maithili
सबसॉइलरसँ जोतला पर माटि ढीला होइत छै आ नीक उत्पादन होइत छै।,maithili,english
A sheep produces about thirty liters of methane gas per day.,english,nepali
एउटा भेडाले दिनमा लगभग तीस लिटर मिथेन ग्यास उत्पादन गर्छ।,nepali,english
A sheep produces about thirty liters of methane gas per day.,english,maithili
एकटा भेड़ा दिनमे लगभग तीस लीटर मिथेन गैस उत्पादन करैत छै।,maithili,english
Dates from Arab countries are considered high quality.,english,nepali
अरब देशको खजुरलाई उच्च गुणस्तरको मानिन्छ।,nepali,english
Dates from Arab countries are considered high quality.,english,maithili
अरब देशक खजूरके उच्च गुणवत्ताक मानल जाइत अछि।,maithili,english
Pima is considered the finest cotton in the world.,english,nepali
पीमालाई संसारकै सबैभन्दा उत्तम कपास मानिन्छ।,nepali,english
Pima is considered the finest cotton in the world.,english,maithili
पीमाके दुनियाक सबसँ उत्तम कपास मानल जाइत अछि।,maithili,english
The farmer leader and the then Development Minister of Punjab started the Mandi system.,english,nepali
किसान नेता र पञ्जाबका तत्कालीन विकास मन्त्रीले मंडी प्रणाली सुरु गरेका थिए।,nepali,english
The farmer leader and the then Development Minister of Punjab started the Mandi system.,english,maithili
किसान नेता आ पंजाबक तत्कालीन विकास मंत्री मंडी प्रणाली शुरू कएने छल।,maithili,english
The main objective of animal welfare is the freedom to recover from crisis and behave normally.,english,nepali
संकटबाट मुक्त भएर सामान्य व्यवहार गर्न पाउने स्वतन्त्रता पशु कल्याणको मुख्य उद्देश्य हो।,nepali,english
The main objective of animal welfare is the freedom to recover from crisis and behave normally.,english,maithili
संकटसँ मुक्त भऽके सामान्य व्यवहार करेके स्वतंत्रता पशु कल्याणक मुख्य उद्देश्य होइत छै।,maithili,english
"Red chili is not good for everyone, it can cause stomach irritation, pain, and diarrhea.",english,nepali
"रातो खुर्सानी सबैको लागि राम्रो हुँदैन, यसले पेटमा जलन, दुख्ने र पखाला लाग्न सक्छ।",nepali,english
"Red chili is not good for everyone, it can cause stomach irritation, pain, and diarrhea.",english,maithili
"लाल मिर्च सबके लेल नीक नै होइत छै, एकरासँ पेटमे जलन, दर्द आ दस्त भऽ सकैत छै।",maithili,english
"Dried tobacco leaves are used for bidi, cigarettes, and chewing tobacco.",english,nepali
"सुकेको सुर्तीको पातलाई बिँडी, सिगरेट र चपाउने सुर्तीमा प्रयोग गरिन्छ।",nepali,english
"Dried tobacco leaves are used for bidi, cigarettes, and chewing tobacco.",english,maithili
"सुखल सुर्तीक पत्ताके बीड़ी, सिगरेट आ चबावे वाला सुर्तीमे प्रयोग कएल जाइत अछि।",maithili,english
"If the flower gets a disease, it affects production and reduces the farmer's income.",english,nepali
फूलमा रोग लाग्यो भने उत्पादनमा असर पर्छ र किसानको आम्दानी घट्छ।,nepali,english
"If the flower gets a disease, it affects production and reduces the farmer's income.",english,maithili
फूलमे रोग लागला पर उत्पादन पर असर पड़ैत छै आ किसानक आमदनी घटि जाइत छै।,maithili,english
A mushroom is a spore-bearing fruit that grows above ground. It's made from fungus.,english,nepali
"च्याउ एउटा बीजाणुयुक्त फल हो, जुन जमिनमाथि उम्रन्छ। यो ढुसीबाट बन्छ।",nepali,english
A mushroom is a spore-bearing fruit that grows above ground. It's made from fungus.,english,maithili
"च्याउ एकटा बीजाणुयुक्त फल होइत छै, जे जमीन पर उगैत छै। ई ढुसीसँ बनैत छै।",maithili,english
Broken wheat is a high-protein food that has no fat.,english,nepali
"टुटेको गहुँ उच्च प्रोटिन भएको खाना हो, जसमा चिल्लो हुँदैन।",nepali,english
Broken wheat is a high-protein food that has no fat.,english,maithili
"टूटल गेहूं उच्च प्रोटीन वाला खाना होइत छै, जहिमे चर्बी नै होइत छै।",maithili,english
"Paper is commercially prepared for printing, writing, and packaging.",english,nepali
"कागजलाई छाप्न, लेख्न र प्याकेजिङको लागि व्यावसायिक रूपमा तयार गरिन्छ।",nepali,english
"Paper is commercially prepared for printing, writing, and packaging.",english,maithili
"कागजके छापे, लिखे आ पैकेजिंगके लेल व्यावसायिक रूपसँ तैयार कएल जाइत अछि।",maithili,english
It's better to graft amla than to plant its seeds.,english,nepali
आँवलाको बीउ रोप्नुभन्दा कलमी गर्नु राम्रो हुन्छ।,nepali,english
It's better to graft amla than to plant its seeds.,english,maithili
आँवलाके बीज रोपेसँ नीक कलम करनाइ होइत छै।,maithili,english
"Farki is a major disease of sheep, which is caused by bacteria.",english,nepali
"फर्की भेडाको एउटा प्रमुख रोग हो, जुन ब्याक्टेरियाले गर्दा हुन्छ।",nepali,english
"Farki is a major disease of sheep, which is caused by bacteria.",english,maithili
"फर्की भेड़ाक एकटा प्रमुख रोग होइत छै, जे बैक्टीरियाके कारण होइत छै।",maithili,english
It is used in potato farming because it kills insects in the soil.,english,nepali
