input_text,language
कृषि उपकरण निर्माता संगठनले प्रति वर्ष आधुनिक उपकरणहरू निर्माण गर्छ।,nepali
The agricultural equipment manufacturers organization manufactures modern equipment every year.,english
कृषि उपकरण निर्माता संगठन प्रति वर्ष आधुनिक उपकरण बनाबैत अछि।,maithili
Organic gardening does not adversely affect human health.,english
जैविक बागवानीले मानिसको स्वास्थ्यमा नराम्रो असर पार्दैन।,nepali
Organic gardening does not adversely affect human health.,english
जैविक बागवानी से मनुष्य के स्वास्थ्य पर खराब असर नहिं पडैत अछि।,maithili
The Prime Minister worked for the development of the agricultural sector.,english
प्रधानमन्त्रीले कृषि क्षेत्रको विकासको लागि काम गर्नुभयो।,nepali
The Prime Minister worked for the development of the agricultural sector.,english
प्रधानमन्त्री कृषि क्षेत्र के विकास के लेल काज केलनि।,maithili
Bamboo is used a lot in the textile industry.,english
कपडा उद्योगमा बाँसको उपयोग धेरै हुन्छ।,nepali
Bamboo is used a lot in the textile industry.,english
कपडा उद्योग मे बांस के उपयोग बहुत होएत अछि।,maithili
The government creates the mandi system in India.,english
भारतमा मंडी प्रणालीको व्यवस्था सरकारले निर्माण गर्छ।,nepali
The government creates the mandi system in India.,english
भारत मे मंडी प्रणाली के व्यवस्था सरकार बनबैत अछि।,maithili
Different types of trees are found in India.,english
भारतमा विभिन्न प्रकारका रुख पाइन्छ।,nepali
Different types of trees are found in India.,english
भारत मे विभिन्न प्रकार के गाछ भेटैत अछि।,maithili
"After threshing, the grain is separated from the chaff.",english
दौनी गरेपछि जातबाट दाना अलग हुन्छ।,nepali
"After threshing, the grain is separated from the chaff.",english
दौनी केला के बाद जात से दाना अलग होएत अछि।,maithili
"Carpets, curtains, ropes, etc. are made from jute.",english
"पटुवाबाट गलैँचा, पर्दा, डोरी इत्यादि बनाइन्छ।",nepali
"Carpets, curtains, ropes, etc. are made from jute.",english
"पटुआ से गलैचा, पर्दा, डोरी इत्यादि बनाओल जाएत अछि।",maithili
Expanding the forest is necessary to boost the economy.,english
अर्थतन्त्रलाई अगाडि बढाउनको लागि जङ्गलको विस्तार आवश्यक छ।,nepali
Expanding the forest is necessary to boost the economy.,english
अर्थतन्त्र के आगू बढावे के लेल जंगल के विस्तार जरूरी अछि।,maithili
Farmers should use the best equipment to prepare the soil.,english
किसानले माटो तयार गर्नको लागि उत्तम उपकरणको उपयोग गर्नुपर्छ।,nepali
Farmers should use the best equipment to prepare the soil.,english
किसान के माटि तैयार करे के लेल उत्तम उपकरण के उपयोग करे के चाही।,maithili
The farmer produced watermelon fruit with a lot of hard work.,english
किसानले धेरै परिश्रम गरेर खरबुजा फलको उत्पादन गरे।,nepali
The farmer produced watermelon fruit with a lot of hard work.,english
किसान बहुत परिश्रम क के खरबुजा फल के उत्पादन केलनि।,maithili
Combined machinery has a very important role in the agricultural sector.,english
संयुक्त यन्त्रको कृषि क्षेत्रमा धेरै महत्त्वपूर्ण भूमिका छ।,nepali
Combined machinery has a very important role in the agricultural sector.,english
संयुक्त यन्त्र के कृषि क्षेत्र मे बहुत महत्वपूर्ण भूमिका अछि।,maithili
Nutrient requirements depend on the age of the cow.,english
पोषक तत्वको आवश्यकता गाईको उमेरमा निर्भर गर्छ।,nepali
Nutrient requirements depend on the age of the cow.,english
पोषक तत्व के आवश्यकता गाई के उमिर पर निर्भर करैत अछि।,maithili
Bamboo is the main source of bamboo paper.,english
बाँस कागजको मुख्य स्रोत बाँस हो।,nepali
Bamboo is the main source of bamboo paper.,english
बांस कागज के मुख्य स्रोत बांस अछि।,maithili
"A large, airy house is needed to raise chickens.",english
कुखुरा पालन गर्नको लागि एउटा ठूलो हावादार घरको आवश्यकता पर्छ।,nepali
"A large, airy house is needed to raise chickens.",english
कुखुरा पालन करे के लेल एकटा पैघ हवादार घर के आवश्यकता पडैत अछि।,maithili
"Under the Pradhan Mantri Kisan Mandhan Yojana, farmers receive some amount monthly.",english
प्रधानमन्त्री किसान मानधन योजनाबाट किसानले मासिक रूपमा केही रकम पाउँछन्।,nepali
"Under the Pradhan Mantri Kisan Mandhan Yojana, farmers receive some amount monthly.",english
प्रधानमन्त्री किसान मानधन योजना से किसान के मासिक रूप से किछु रकम भेटैत छै।,maithili
Betel nut traders displayed different types of betel nuts.,english
सुपारी व्यापारीहरूले विभिन्न प्रकारका सुपारी प्रदर्शन गरे।,nepali
Betel nut traders displayed different types of betel nuts.,english
सुपारी व्यापारी सब विभिन्न प्रकार के सुपारी प्रदर्शन केलनि।,maithili
The aim of the midday meal scheme is to provide nutritious food to students.,english
मध्यान्ह भोजन योजनाको उद्देश्य विद्यार्थीहरूलाई पौष्टिक आहार प्रदान गर्नु हो।,nepali
The aim of the midday meal scheme is to provide nutritious food to students.,english
मध्यान्ह भोजन योजना के उद्देश्य विद्यार्थी सब के पौष्टिक आहार प्रदान करनाई अछि।,maithili
"Generally, its seeds are planted after making a hole.",english
सामान्यतया यसको बिउलाई प्वाल पारेर रोपिन्छ।,nepali
"Generally, its seeds are planted after making a hole.",english
सामान्यतया एकर बिआ के छेद क के रोपायल जाएत अछि।,maithili
Its largest producer country is Indonesia.,english
यसको सबैभन्दा ठूलो उत्पादक देश इन्डोनेसिया हो।,nepali
Its largest producer country is Indonesia.,english
एकर सबस पैघ उत्पादक देश इंडोनेशिया अछि।,maithili
"Chicken feed contains many chemicals, which are harmful to human health.",english
"कुखुराको दानामा धेरै रसायन हुन्छ, जुन मानव स्वास्थ्यको लागि हानिकारक हुन्छ।",nepali
"Chicken feed contains many chemicals, which are harmful to human health.",english
"कुखुरा के दाना मे बहुत रसायन होएत अछि, जे मानव स्वास्थ्य के लेल हानिकारक होएत अछि।",maithili
A pomegranate has hundreds of small juicy seeds.,english
एउटा अनारमा सयौं स-साना रसिलो दाना हुन्छन्।,nepali
A pomegranate has hundreds of small juicy seeds.,english
एकटा अनार मे सैकडों छोट-छोट रसीला दाना होएत अछि।,maithili
This festival happens at different times because of different climates and crops around the world.,english
विश्वभरि जलवायु र बालीमा फरक भएकाले यो उत्सव फरक-फरक समयमा हुन्छ।,nepali
This festival happens at different times because of different climates and crops around the world.,english
विश्वभरि मे जलवायु आ बाली मे फरक भेला के कारण ई उत्सव अलग-अलग समय मे होएत अछि।,maithili
Ethanol fuel is used worldwide as biofuel.,english
विश्वभरि इथेनोल इन्धनको प्रयोग जैविक इन्धनको रूपमा हुन्छ।,nepali
Ethanol fuel is used worldwide as biofuel.,english
विश्वभरि मे इथेनोल ईंधन के प्रयोग जैविक ईंधन के रूप मे होएत अछि।,maithili
Nematicides are very dangerous poisonous substances.,english
नेमाटिसाइड्स धेरै खतरनाक विषालु पदार्थ हुन्छ।,nepali
Nematicides are very dangerous poisonous substances.,english
नेमाटिसाइड्स बहुत खतरनाक विषैला पदार्थ होएत अछि।,maithili
"If someone eats the flower or leaf of an oleander, they can get sick because it is poisonous.",english
"ओलियन्डरको फूल, पात केही खाएमा मान्छे बिरामी हुनसक्छ, किनकि यो विषालु हुन्छ।",nepali
"If someone eats the flower or leaf of an oleander, they can get sick because it is poisonous.",english
"ओलियन्डर के फूल, पात किछु खएला पर आदमी बीमार भ सकैत अछि, किए कि ई विषैला होएत अछि।",maithili
"Animals have many types of diseases, which can be divided into three categories.",english
"जनावरहरूमा धेरै प्रकारका रोगहरू हुन्छन्, जसलाई तीन वर्गमा विभाजन गर्न सकिन्छ।",nepali
"Animals have many types of diseases, which can be divided into three categories.",english
"जानवर सब मे बहुत प्रकार के रोग होएत अछि, जकरा तीन वर्ग मे विभाजित कएल जा सकैत अछि।",maithili
"This fruit has a texture like an egg yolk, so it is called egg fruit.",english
"यो फलमा अण्डाको पहेंलो भाग जस्तो बनावट हुन्छ, त्यसैले यसलाई एग फ्रुट भनिन्छ।",nepali
"This fruit has a texture like an egg yolk, so it is called egg fruit.",english
"ई फल मे अंडा के पियर भाग जका बनावट होएत अछि, तेकर लेल एकरा एग फ्रुट कहल जाएत अछि।",maithili
"Tobacco for bidis is grown in sandy, black, and loamy soil.",english
"बिडीको लागि तम्बाकू बलौटे, कालो र दोमट माटोमा उब्जाउ गरिन्छ।",nepali
"Tobacco for bidis is grown in sandy, black, and loamy soil.",english
"बिडी के लेल तम्बाकू बलुआ, करिया आ दोमट माटि मे उपजाओल जाएत अछि।",maithili
A mushroom with a white cap and a red stem is not edible.,english
सेतो छाता र रातो डाँठ भएको च्याउ खान योग्य हुँदैन।,nepali
A mushroom with a white cap and a red stem is not edible.,english
उज्जर छाता आ लाल डाँठ वाला च्याउ खाए योग्य नहिं होएत अछि।,maithili
Chennai faced a water crisis due to water scarcity.,english
पानीको अभावका कारण चेन्नईमा जल संकट उत्पन्न भयो।,nepali
Chennai faced a water crisis due to water scarcity.,english
पानी के अभाव के कारण चेन्नई मे जल संकट उत्पन्न भेल।,maithili
Marwari sheep are found in various districts of the state of Rajasthan.,english
मारवाडी भेडा राजस्थान राज्यका विभिन्न जिल्लामा पाइन्छ।,nepali
Marwari sheep are found in various districts of the state of Rajasthan.,english
मारवाडी भेडा राजस्थान राज्य के विभिन्न जिला मे भेटैत अछि।,maithili
Natural fibers originate from trees and animals.,english
प्राकृतिक रेशाको उत्पत्ति रूख र जनावरबाट हुन्छ।,nepali
Natural fibers originate from trees and animals.,english
प्राकृतिक रेशा के उत्पत्ति गाछ आ जानवर से होएत अछि।,maithili
"The woodworm includes names like garar, ghun, bhem, etc.",english
"काठको कीरामा गरार, घुन, भेम इत्यादिको नाम लिइन्छ।",nepali
"The woodworm includes names like garar, ghun, bhem, etc.",english
"काठ के कीड़ा मे गरार, घुन, भेम इत्यादिक के नाम लेल जाएत अछि।",maithili
But animal exploitation has increased due to rearing.,english
तर पालनपोषणका कारण पशु शोषणमा वृद्धि भएको छ।,nepali
But animal exploitation has increased due to rearing.,english
मुदा पालनपोषण के कारण पशु शोषण मे बढोतरी भेल अछि।,maithili
"In villages, animal husbandry is done a lot.",english
गाउँघरतिर पशुपालन धेरै गरिन्छ।,nepali
"In villages, animal husbandry is done a lot.",english
गांउघर तरफ पशुपालन बहुत कएल जाएत अछि।,maithili
The demand for sprouted seeds increased to get a good harvest.,english
राम्रो फसल प्राप्त गर्न अंकुरित बीउको मागमा वृद्धि भयो।,nepali
The demand for sprouted seeds increased to get a good harvest.,english
नीक फसल प्राप्त करे के लेल अंकुरित बिआ के मांग मे बढोतरी भेल।,maithili
This machine has a vacuum system attached.,english
यो मेसिनमा एउटा भ्याकुम सिस्टम लागेको हुन्छ।,nepali
This machine has a vacuum system attached.,english
ई मशीन मे एकटा भ्याकुम सिस्टम लागल रहैत अछि।,maithili
"After proving eligibility for financial assistance, help was received.",english
वित्तीय सहयोगको लागि योग्यता प्रमाणित भएपछि सहयोग पाइयो।,nepali
"After proving eligibility for financial assistance, help was received.",english
वित्तीय सहयोग के लेल योग्यता प्रमाणित भेला के बाद सहयोग भेटल।,maithili
Farming without irrigation is called dry farming.,english
सिँचाइ बिनाको खेतीलाई सुख्खा खेती भनिन्छ।,nepali
Farming without irrigation is called dry farming.,english
सिंचाई बिना के खेती के सूखा खेती कहल जाएत अछि।,maithili
"To protect the crop from rats, the farmer used rodenticide.",english
बालीलाई मुसाबाट बचाउन किसानले कृन्तकनाशकको प्रयोग गरे।,nepali
"To protect the crop from rats, the farmer used rodenticide.",english
बाली के मुसा से बचावे के लेल किसान कृन्तकनाशक के प्रयोग केलनि।,maithili
Thread is made with the help of a spinning wheel.,english
चरखाको सहयोगले धागो तयार गरिन्छ।,nepali
Thread is made with the help of a spinning wheel.,english
चरखा के सहयोग से धागा तैयार कएल जाएत अछि।,maithili
Agroforestry increases the income of farmers many times over.,english
वृक्षारोपण खेतीले किसानको आम्दानी धेरै गुणा बढ्छ।,nepali
Agroforestry increases the income of farmers many times over.,english
वृक्षारोपण खेती से किसान के आमदनी बहुत गुना बढैत अछि।,maithili
The need for Maddu or Madda irrigation system is not felt in Mithila.,english
मद्दु वा मद्दा सिँचाइ व्यवस्थाको आवश्यकता मिथिलामा महसुस हुँदैन।,nepali
The need for Maddu or Madda irrigation system is not felt in Mithila.,english
मद्दु वा मद्दा सिंचाई व्यवस्था के आवश्यकता मिथिला मे महसूस नहिं होएत अछि।,maithili
Many writers have called sheep grazing an ecological crisis.,english
धेरै लेखकले भेडा चराउने कामलाई पारिस्थितिक संकट भनेका छन्।,nepali
Many writers have called sheep grazing an ecological crisis.,english
बहुत लेखक भेडा चरावे के काज के पारिस्थितिक संकट कहने छथि।,maithili
The combined machine has a very important role in agriculture.,english
संयुक्त यन्त्रको कृषि क्षेत्रमा धेरै महत्त्वपूर्ण भूमिका छ।,nepali
The combined machine has a very important role in agriculture.,english
संयुक्त यन्त्रक कृषि क्षेत्रमे बहुत महत्वपूर्ण भूमिका छै।,maithili
The Minister of Agriculture was very happy with the National Food Security Mission.,english
राष्ट्रिय खाद्य सुरक्षा मिशनबाट कृषि मन्त्री धेरै खुसी हुनुहुन्थ्यो।,nepali
The Minister of Agriculture was very happy with the National Food Security Mission.,english
राष्ट्रिय खाद्य सुरक्षा मिशनसँ कृषि मंत्री बहुत खुश रहैथ।,maithili
"After the method of obtaining gold from the bark of lemon trees comes to Mithila, employment opportunities will increase.",english
निम्बुको रुखको बोक्राबाट सुन प्राप्त गर्ने विधि मिथिलामा आएपछि रोजगारीको अवसर बढ्नेछ।,nepali
"After the method of obtaining gold from the bark of lemon trees comes to Mithila, employment opportunities will increase.",english
नेबुक गाछक बोकसँ सोना निकालएके विधि मिथिलामे आएला पर रोजगारक अवसर बढ्हत।,maithili
"Due to the shortage of tomatoes, the price increased.",english
टमाटरको अभावका कारण मूल्यमा वृद्धि भयो।,nepali
"Due to the shortage of tomatoes, the price increased.",english
टमाटरक अभावके कारण दाममे बढोत्तरी भेल।,maithili
The farmer produced santola and sold it in the market.,english
किसानले सन्तोला उत्पादन गरेर बजारमा बेचे।,nepali
The farmer produced santola and sold it in the market.,english
किसान सन्तोला उपजाके बाजारमे बेचलक।,maithili
The humidity level is very high in some parts of South India.,english
दक्षिण भारतका केही क्षेत्रमा आद्रताको स्तर धेरै हुन्छ।,nepali
The humidity level is very high in some parts of South India.,english
दक्षिण भारतक किछु क्षेत्रमे आद्रताक स्तर बहुत बेसी होइत छै।,maithili
Wool on the sheep's mouth can cause many diseases.,english
भेडाको मुखमा ऊनले धेरै रोग निम्त्याउन सक्छ।,nepali
Wool on the sheep's mouth can cause many diseases.,english
भेड़ोक मुहमे ऊन बहुत रोगके कारण बन सकैत अछि।,maithili
His equipment was destroyed due to woodworm.,english
काठको कीराले गर्दा उसको उपकरण नष्ट भयो।,nepali
His equipment was destroyed due to woodworm.,english
काठक कीड़ाके कारण ओकर उपकरण नष्ट भ गेल।,maithili
Cocoa is used a lot in India.,english
भारतमा कोकोको उपयोग धेरै गरिन्छ।,nepali
Cocoa is used a lot in India.,english
भारतमे कोकोक उपयोग बहुत कएल जाइत अछि।,maithili
Dairy cows produce more milk than other cows.,english
डेरी गाईले अन्य गाईभन्दा धेरै दूध उत्पादन गर्छ।,nepali
Dairy cows produce more milk than other cows.,english
डेरी गाई दोसर गाईसँ बेसी दूध उत्पादन करैत अछि।,maithili
This machine has a really sharp grass cutting blade.,english
यो मेसिनमा घाँस काट्ने ब्लेड एकदमै धारिलो हुन्छ।,nepali
This machine has a really sharp grass cutting blade.,english
ई मशीनमे घास काटे वाला ब्लेड एकदम तेज होइत छै।,maithili
The government should ensure proper use of fertile land.,english
सरकारले मलिलो जमिनको सही उपयोग गराउनुपर्छ।,nepali
The government should ensure proper use of fertile land.,english
सरकारके मलहड़ जमीनक सही उपयोग करेबाक चाही।,maithili
The wood business suffered a lot due to the Corona pandemic.,english
कोरोना महामारीले गर्दा काठको व्यापारमा धेरै नोक्सान भयो।,nepali
The wood business suffered a lot due to the Corona pandemic.,english
कोरोना महामारीके कारण काठक व्यापारमे बहुत नुकसान भेल।,maithili
The farmer asked for help to apply for financial assistance.,english
किसानले आर्थिक सहयोगको लागि निवेदन दिन सहयोग मागे।,nepali
The farmer asked for help to apply for financial assistance.,english
किसान आर्थिक सहयोगके लेल आवेदन देबाक लेल मदद मँगने छल।,maithili
Rat poison is poison for rats.,english
मुसा मार्ने विष मुसाको लागि विष हो।,nepali
Rat poison is poison for rats.,english
मुसा मारे वाला जहर मुसाके लेल विष होइत छै।,maithili
They were able to expand agriculture because of the agricultural infrastructure fund.,english
कृषि पूर्वाधार कोषको कारणले उनीहरुले कृषि विस्तार गर्न सके।,nepali
They were able to expand agriculture because of the agricultural infrastructure fund.,english
कृषि पूर्वाधार कोषके कारण ओ सब कृषि विस्तार कए सकल।,maithili
"Due to the invention of machines, many working people's jobs were affected.",english
मेसिनको आविष्कारले गर्दा धेरै काम गर्ने मान्छेहरुको रोजगारीमा असर पर्यो।,nepali
"Due to the invention of machines, many working people's jobs were affected.",english
मशीनक आविष्कारके कारण बहुत काम करे वाला लोगक रोजगार पर असर पड़ल।,maithili
Organic fertilizer does not destroy the fertility of the soil.,english
जैविक मलले जमिनको उर्वरा शक्ति नष्ट गर्दैन।,nepali
Organic fertilizer does not destroy the fertility of the soil.,english
जैविक खाद जमीनक उर्वरा शक्ति नष्ट नै करैत अछि।,maithili
The corrupt employee didn't give the livestock insurance money to the farmer.,english
भ्रष्ट कर्मचारीले पशु बीमा योजनाको पैसा किसानलाई दिएन।,nepali
The corrupt employee didn't give the livestock insurance money to the farmer.,english
भ्रष्ट कर्मचारी पशु बीमा योजनाक पैसा किसानके नै देलक।,maithili
The lack of nutrients affected the fertility of the sheep.,english
पोषक तत्वको कमीले गर्दा भेडाको प्रजनन क्षमतामा असर गर्यो।,nepali
The lack of nutrients affected the fertility of the sheep.,english
पोषक तत्वक कमीके कारण भेड़ोक प्रजनन क्षमता पर असर पड़ल।,maithili
The farmer applied to the officer for a permit to expand his business.,english
किसानले व्यापार बढाउनको लागि अधिकारीलाई अनुमति पत्रको लागि निवेदन दिए।,nepali
The farmer applied to the officer for a permit to expand his business.,english
किसान व्यापार बढ़ावेके लेल अधिकारीसँ अनुमति पत्रके लेल आवेदन देलक।,maithili
Antarctica has a large source of the world's frozen water.,english
अन्टार्टिकामा विश्वको धेरै जमेको पानीको स्रोत छ।,nepali
Antarctica has a large source of the world's frozen water.,english
अंटार्कटिकामे दुनियाक बहुत जमल पानीक स्रोत छै।,maithili
The arthropod is a major component for the invertebrate fauna.,english
कठिनी जीवजगतमा संधिपाद जीवको लागि एउटा मुख्य भाग हो।,nepali
The arthropod is a major component for the invertebrate fauna.,english
कठिनी जीवजगतमे संधिपाद जीवके लेल एकटा मुख्य भाग होइत छै।,maithili
Plowing with a subsoiler loosens the soil and results in good production.,english
सबसॉइलरले जोत्दा माटो खुकुलो हुन्छ र राम्रो उत्पादन हुन्छ।,nepali
Plowing with a subsoiler loosens the soil and results in good production.,english
सबसॉइलरसँ जोतला पर माटि ढीला होइत छै आ नीक उत्पादन होइत छै।,maithili
A sheep produces about thirty liters of methane gas per day.,english
एउटा भेडाले दिनमा लगभग तीस लिटर मिथेन ग्यास उत्पादन गर्छ।,nepali
A sheep produces about thirty liters of methane gas per day.,english
एकटा भेड़ा दिनमे लगभग तीस लीटर मिथेन गैस उत्पादन करैत छै।,maithili
Dates from Arab countries are considered high quality.,english
अरब देशको खजुरलाई उच्च गुणस्तरको मानिन्छ।,nepali
Dates from Arab countries are considered high quality.,english
अरब देशक खजूरके उच्च गुणवत्ताक मानल जाइत अछि।,maithili
Pima is considered the finest cotton in the world.,english
पीमालाई संसारकै सबैभन्दा उत्तम कपास मानिन्छ।,nepali
Pima is considered the finest cotton in the world.,english
पीमाके दुनियाक सबसँ उत्तम कपास मानल जाइत अछि।,maithili
The farmer leader and the then Development Minister of Punjab started the Mandi system.,english
किसान नेता र पञ्जाबका तत्कालीन विकास मन्त्रीले मंडी प्रणाली सुरु गरेका थिए।,nepali
The farmer leader and the then Development Minister of Punjab started the Mandi system.,english
किसान नेता आ पंजाबक तत्कालीन विकास मंत्री मंडी प्रणाली शुरू कएने छल।,maithili
The main objective of animal welfare is the freedom to recover from crisis and behave normally.,english
संकटबाट मुक्त भएर सामान्य व्यवहार गर्न पाउने स्वतन्त्रता पशु कल्याणको मुख्य उद्देश्य हो।,nepali
The main objective of animal welfare is the freedom to recover from crisis and behave normally.,english
संकटसँ मुक्त भऽके सामान्य व्यवहार करेके स्वतंत्रता पशु कल्याणक मुख्य उद्देश्य होइत छै।,maithili
"Red chili is not good for everyone, it can cause stomach irritation, pain, and diarrhea.",english
"रातो खुर्सानी सबैको लागि राम्रो हुँदैन, यसले पेटमा जलन, दुख्ने र पखाला लाग्न सक्छ।",nepali
"Red chili is not good for everyone, it can cause stomach irritation, pain, and diarrhea.",english
"लाल मिर्च सबके लेल नीक नै होइत छै, एकरासँ पेटमे जलन, दर्द आ दस्त भऽ सकैत छै।",maithili
"Dried tobacco leaves are used for bidi, cigarettes, and chewing tobacco.",english
"सुकेको सुर्तीको पातलाई बिँडी, सिगरेट र चपाउने सुर्तीमा प्रयोग गरिन्छ।",nepali
"Dried tobacco leaves are used for bidi, cigarettes, and chewing tobacco.",english
"सुखल सुर्तीक पत्ताके बीड़ी, सिगरेट आ चबावे वाला सुर्तीमे प्रयोग कएल जाइत अछि।",maithili
"If the flower gets a disease, it affects production and reduces the farmer's income.",english
फूलमा रोग लाग्यो भने उत्पादनमा असर पर्छ र किसानको आम्दानी घट्छ।,nepali
"If the flower gets a disease, it affects production and reduces the farmer's income.",english
फूलमे रोग लागला पर उत्पादन पर असर पड़ैत छै आ किसानक आमदनी घटि जाइत छै।,maithili
A mushroom is a spore-bearing fruit that grows above ground. It's made from fungus.,english
"च्याउ एउटा बीजाणुयुक्त फल हो, जुन जमिनमाथि उम्रन्छ। यो ढुसीबाट बन्छ।",nepali
A mushroom is a spore-bearing fruit that grows above ground. It's made from fungus.,english
"च्याउ एकटा बीजाणुयुक्त फल होइत छै, जे जमीन पर उगैत छै। ई ढुसीसँ बनैत छै।",maithili
Broken wheat is a high-protein food that has no fat.,english
"टुटेको गहुँ उच्च प्रोटिन भएको खाना हो, जसमा चिल्लो हुँदैन।",nepali
Broken wheat is a high-protein food that has no fat.,english
"टूटल गेहूं उच्च प्रोटीन वाला खाना होइत छै, जहिमे चर्बी नै होइत छै।",maithili
"Paper is commercially prepared for printing, writing, and packaging.",english
"कागजलाई छाप्न, लेख्न र प्याकेजिङको लागि व्यावसायिक रूपमा तयार गरिन्छ।",nepali
"Paper is commercially prepared for printing, writing, and packaging.",english
"कागजके छापे, लिखे आ पैकेजिंगके लेल व्यावसायिक रूपसँ तैयार कएल जाइत अछि।",maithili
It's better to graft amla than to plant its seeds.,english
आँवलाको बीउ रोप्नुभन्दा कलमी गर्नु राम्रो हुन्छ।,nepali
It's better to graft amla than to plant its seeds.,english
आँवलाके बीज रोपेसँ नीक कलम करनाइ होइत छै।,maithili
"Farki is a major disease of sheep, which is caused by bacteria.",english
"फर्की भेडाको एउटा प्रमुख रोग हो, जुन ब्याक्टेरियाले गर्दा हुन्छ।",nepali
"Farki is a major disease of sheep, which is caused by bacteria.",english
"फर्की भेड़ाक एकटा प्रमुख रोग होइत छै, जे बैक्टीरियाके कारण होइत छै।",maithili
It is used in potato farming because it kills insects in the soil.,english
"आलु खेतीमा यसको प्रयोग हुन्छ, किनकि यसले माटोमा हुने कीराहरूलाई मार्छ।",nepali
It is used in potato farming because it kills insects in the soil.,english
"आलू खेतीमे एकर प्रयोग होइत छै, किएकी ई माटिक कीड़ा सभके मारि दैत छै।",maithili
Cutting grape bunches is the most important step in the winemaking process.,english
अंगुरको झुप्पा काट्नु वाइन बनाउने प्रक्रियाको सबैभन्दा महत्त्वपूर्ण चरण हो।,nepali
Cutting grape bunches is the most important step in the winemaking process.,english
अंगूरक गुच्छा काटब वाइन बनावेके प्रक्रियाक सबसँ महत्वपूर्ण चरण होइत छै।,maithili
A bee is a winged insect that plays an important role in pollination.,english
"माहुरी पखेटा भएको किरा हो, जसको परागकणमा महत्त्वपूर्ण भूमिका हुन्छ।",nepali
A bee is a winged insect that plays an important role in pollination.,english
"माहुरी पंख वाला कीड़ा होइत छै, जकर परागकणमे महत्वपूर्ण भूमिका होइत छै।",maithili
"The highest fish production in the country is in Andhra Pradesh, West Bengal, and Gujarat.",english
"देशमा सबैभन्दा धेरै माछा उत्पादन आन्ध्र प्रदेश, पश्चिम बंगाल र गुजरातमा हुन्छ।",nepali
"The highest fish production in the country is in Andhra Pradesh, West Bengal, and Gujarat.",english
"देशमे सबसँ बेसी मछली उत्पादन आंध्र प्रदेश, पश्चिम बंगाल आ गुजरातमे होइत छै।",maithili
"If a sheep gets sick, it should be treated by a doctor immediately.",english
बिरामी भएको अवस्थामा भेडालाई तुरुन्तै डाक्टरबाट उपचार गराउनुपर्छ।,nepali
"If a sheep gets sick, it should be treated by a doctor immediately.",english
बीमार भेला पर भेड़ाके तुरंत डॉक्टरसँ इलाज करावेके चाही।,maithili
Water pipes are laid in the field to irrigate the land.,english
जमिन सिँचाइ गर्न खेतमा पानीको पाइप बिछ्याइन्छ।,nepali
Water pipes are laid in the field to irrigate the land.,english
जमीन सिंचाइ करेके लेल खेतमे पानीक पाइप बिछाओल जाइत छै।,maithili
Using chemical fertilizers on crops affects human health.,english
रासायनिक मलको बालीमा प्रयोग गर्नाले मानव स्वास्थ्यमा असर पर्छ।,nepali
Using chemical fertilizers on crops affects human health.,english
रासायनिक खादके फसलमे प्रयोग करेलासँ मानव स्वास्थ्य पर असर पड़ैत छै।,maithili
His father has gone to the market to buy vegetables.,english
उसको बुबा तरकारी किन्न बजार गएका छन्।,nepali
His father has gone to the market to buy vegetables.,english
ओकर बाबूजी तरकारी किनए लेल बाजार गेल छथि।,maithili
The nutmeg tree is always green.,english
जायफलको रूख सधैं हरियो हुन्छ।,nepali
The nutmeg tree is always green.,english
जायफलक गाछ हमेशा हरियर रहैत छै।,maithili
Cauliflower is a type of vegetable.,english
काउली एक प्रकारको तरकारी हो।,nepali
Cauliflower is a type of vegetable.,english
काउली एक प्रकारक तरकारी होइत छै।,maithili
This card is given every three years so that we know about the changes in the soil.,english
"यो कार्ड हरेक तीन वर्षमा दिइन्छ, ताकि माटोमा भएको परिवर्तनको बारेमा थाहा होस्।",nepali
This card is given every three years so that we know about the changes in the soil.,english
"ई कार्ड हर तीन सालमे देल जाइत छै, ताकि माटिक बदलावके बारेमे पता चलि सकए।",maithili
Antyodaya Anna Yojana was started to reduce hunger among poor people.,english
अन्त्योदय अन्न योजना गरिब मानिसहरूको भोकमरी कम गर्नको लागि सुरु गरिएको थियो।,nepali
Antyodaya Anna Yojana was started to reduce hunger among poor people.,english
अंत्योदय अन्न योजना गरीब लोगक भूखमरी कम करेके लेल शुरू कएल गेल छल।,maithili
We should use groundwater very wisely.,english
हामीले भूमिगत पानीलाई धेरै बुद्धिमानीपूर्वक प्रयोग गर्नुपर्छ।,nepali
We should use groundwater very wisely.,english
हमरा सब के भूमिगत पानीके बहुत बुद्धिमानीसँ प्रयोग करेके चाही।,maithili
Auluwa is used during occasions like fasting.,english
अउलुआको प्रयोग व्रत आदिको अवसरमा गरिन्छ।,nepali
Auluwa is used during occasions like fasting.,english
अउलुआ के प्रयोग बरत आउर तिहार में कयल जाइत अछि।,maithili
The shepherd took all his sheep to the field for food.,english
गोठालाले आफ्नो सबै भेडाहरूलाई खानाको लागि खेतमा लगे।,nepali
The shepherd took all his sheep to the field for food.,english
चरवाहा अपना सबटा भेंड़ा के खाना के लेल खेत में ल गेल।,maithili
"The main sources of paper are trees, dung, grass and water.",english
"कागजको प्रमुख स्रोत रूख, गोबर, घाँस र पानी हो।",nepali
"The main sources of paper are trees, dung, grass and water.",english
